url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-cabrera-bogota/193097402,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 235.000.000 | $ 3.700.000 | $ 740.000.000 | $ 194.250.000 | $ 173.000.000 | $ 186.000.000 | $ 1.530.000 | $ 340.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-24 18:30:29.432306+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-el-nogal-bogota/193771328,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 235.000.000 | $ 3.700.000 | $ 740.000.000 | $ 194.250.000 | $ 173.000.000 | $ 186.000.000 | $ 1.530.000 | $ 340.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-24 18:30:29.483968+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-barrancas-norte-bogota/193571413,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 235.000.000 | $ 3.700.000 | $ 740.000.000 | $ 194.250.000 | $ 173.000.000 | $ 186.000.000 | $ 1.530.000 | $ 340.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-24 18:30:29.533729+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/191102322,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 235.000.000 | $ 3.700.000 | $ 740.000.000 | $ 194.250.000 | $ 173.000.000 | $ 186.000.000 | $ 1.530.000 | $ 340.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-24 18:30:29.543953+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-engativa-bogota/193857762,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 235.000.000 | $ 3.700.000 | $ 740.000.000 | $ 194.250.000 | $ 173.000.000 | $ 186.000.000 | $ 1.530.000 | $ 340.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-24 18:30:29.550623+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/193470079,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 235.000.000 | $ 3.700.000 | $ 740.000.000 | $ 194.250.000 | $ 173.000.000 | $ 186.000.000 | $ 1.530.000 | $ 340.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-24 18:30:29.839771+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-santa-paula-bogota/194008553,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 235.000.000 | $ 3.700.000 | $ 740.000.000 | $ 194.250.000 | $ 173.000.000 | $ 186.000.000 | $ 1.530.000 | $ 340.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-24 18:30:29.874432+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-antiguo-country-bogota/193721564,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 235.000.000 | $ 3.700.000 | $ 740.000.000 | $ 194.250.000 | $ 173.000.000 | $ 186.000.000 | $ 1.530.000 | $ 340.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-24 18:30:30.545914+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cerros-de-suba-bogota/192648174,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 235.000.000 | $ 3.700.000 | $ 740.000.000 | $ 194.250.000 | $ 173.000.000 | $ 186.000.000 | $ 1.530.000 | $ 340.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-24 18:30:30.680763+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/193899371,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 235.000.000 | $ 3.700.000 | $ 740.000.000 | $ 194.250.000 | $ 173.000.000 | $ 186.000.000 | $ 1.530.000 | $ 340.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-24 18:30:30.817595+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-montevideo-bogota/193963854,"{'title': 'El portal inmobiliario #1 de Colombia', 'pricing': '$ 235.000.000 | $ 3.700.000 | $ 740.000.000 | $ 194.250.000 | $ 173.000.000 | $ 186.000.000 | $ 1.530.000 | $ 340.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-07-24 18:30:30.905044+00:00
